question_id,question_type,complexity,method,faithfulness,answer_relevance,context_precision,context_recall,correctness,conciseness,uncertainty_score,retrieval_latency_sec,generation_latency_sec,total_latency_sec,context_tokens,answer_tokens,input_tokens,output_tokens,total_tokens,generation_cost_inr,total_cost_inr,has_citations,confidence_level,appropriate_uncertainty,answer_word_count,context_word_count,overall_score
DOE_001,factual,simple,local,1,1,1,0.5,0.891958473,0.7,0.3,94.79940462,2.683391094,97.48279572,564,114,644,114,1322,0.014846914,0.014846914,FALSE,medium,FALSE,99,429,0.770279782
DOE_001,factual,simple,global,1,1,1,0.5,0.897633413,0.7,1,175.7600338,4.068163633,179.8281975,633,141,713,141,1487,0.017235917,0.017235917,TRUE,low,TRUE,118,471,0.871090488
DOE_001,factual,simple,faiss,1,1,1,0.5,0.595668827,0.7,0.3,2.657022476,2.046827793,4.703850269,787,123,867,123,1777,0.018342686,0.018342686,FALSE,medium,FALSE,106,527,0.72795269
DOE_002,factual,simple,local,1,1,1,1,0.910698825,0.7,1,44.41909337,2.383757353,46.80285072,400,115,482,115,997,0.012714358,0.012714358,TRUE,low,TRUE,103,323,0.944385546
DOE_002,factual,simple,global,1,1,1,0.5,0.581767116,0.7,0.3,238.4580286,1.131589174,239.5896177,478,66,560,66,1104,0.011121687,0.011121687,FALSE,high,FALSE,62,354,0.725966731
DOE_002,factual,simple,faiss,1,1,1,1,0.589393885,0.7,0.3,2.038151503,1.105709076,3.143860579,784,63,865,63,1712,0.015076364,0.015076364,FALSE,medium,FALSE,58,570,0.798484841
DOE_003,factual,simple,local,1,1,1,0.5,0.626354011,0.7,1,38.6242106,9.996618271,48.62082887,681,312,767,312,1760,0.02719685,0.02719685,TRUE,low,TRUE,227,489,0.832336287
DOE_003,factual,simple,global,1,1,1,0.5,0.621807563,0.7,0.3,108.4395349,3.168048143,111.607583,827,192,912,192,1931,0.022675287,0.022675287,FALSE,medium,FALSE,137,608,0.731686795
DOE_003,factual,simple,faiss,1,1,1,0,0.608889736,0.7,1,2.710167408,2.982854605,5.693022013,822,247,907,247,1976,0.025577185,0.025577185,TRUE,low,TRUE,189,556,0.758412819
DOE_004,factual,medium,local,1,1,1,0.5,0.614093233,0.7,1,65.24293828,2.507623434,67.75056171,604,149,689,149,1442,0.017343895,0.017343895,TRUE,low,TRUE,125,395,0.830584748
DOE_004,factual,medium,global,1,1,1,0.5,0.621015805,0.7,1,331.5932245,3.438722134,335.0319467,629,196,714,196,1539,0.020218798,0.020218798,TRUE,low,TRUE,164,443,0.831573686
DOE_004,factual,medium,faiss,1,1,1,0.5,0.604401761,0.5,1,2.476975918,1.993381977,4.470357895,717,189,801,189,1707,0.021015132,0.021015132,TRUE,low,TRUE,128,403,0.800628823
DOE_005,theoretical,high,local,1,0.5,1,0.5,0.613725886,0.5,1,57.78132987,52.38682985,110.1681597,599,332,676,332,1607,0.027048382,0.027048382,TRUE,low,TRUE,232,417,0.730532269
DOE_005,theoretical,high,global,1,1,1,0.5,0.605985974,0.5,1,323.6792858,6.286132097,329.9654179,629,349,707,349,1685,0.028384605,0.028384605,TRUE,low,TRUE,280,454,0.800855139
DOE_005,theoretical,high,faiss,1,1,1,0.5,0.603304058,0.5,1,1.888184547,4.925249577,6.813434124,1283,374,1360,374,3017,0.03854799,0.03854799,TRUE,low,TRUE,254,503,0.800472008
DOE_006,theoretical,medium,local,1,1,1,0.5,0.64150613,0.7,0.3,42.27602029,3.027745724,45.30376601,565,197,651,197,1413,0.019422464,0.019422464,FALSE,medium,FALSE,147,443,0.734500876
DOE_006,theoretical,medium,global,1,1,1,0.5,0.944541618,0.7,0.3,172.666424,2.64465332,175.3110774,729,233,816,233,1778,0.023593097,0.023593097,FALSE,medium,FALSE,181,537,0.77779166
DOE_006,theoretical,medium,faiss,1,1,1,0,0.605819701,0.7,0.3,1.72218132,1.941583633,3.663764954,959,128,1045,128,2132,0.02101513,0.02101513,FALSE,medium,FALSE,110,474,0.657974243
DOE_007,theoretical,medium,local,1,1,1,0.5,0.627057985,0.7,1,39.4012692,4.70190382,44.10317302,665,312,750,312,1727,0.026967398,0.026967398,TRUE,low,TRUE,212,484,0.832436855
DOE_007,theoretical,medium,global,1,1,1,0.5,0.30932609,0.7,1,178.6447301,4.545307398,183.1900375,844,319,929,319,2092,0.029761317,0.029761317,TRUE,low,TRUE,212,596,0.787046584
DOE_007,theoretical,medium,faiss,0.5,0.5,0.5,0,0.28814398,0.5,1,6.729856253,1.904628038,8.634484291,857,126,942,126,1925,0.019516942,0.019516942,TRUE,low,TRUE,106,539,0.469734854
DOE_008,theoretical,medium,local,1,1,1,0.5,0.574010715,0.7,1,52.53228283,4.293940306,56.82622313,658,296,738,296,1692,0.025941611,0.025941611,TRUE,low,TRUE,227,490,0.824858674
DOE_008,theoretical,medium,global,1,1,1,0.5,0.599283019,0.7,1,247.9570334,3.295711517,251.2527449,621,297,701,297,1619,0.025496204,0.025496204,TRUE,low,TRUE,253,480,0.828469003
DOE_008,theoretical,medium,faiss,1,1,1,0,0.640433578,0.7,0.3,4.093851089,2.427824497,6.521675587,1247,232,1326,232,2805,0.030422676,0.030422676,FALSE,medium,FALSE,200,531,0.662919083
DOE_009,theoretical,high,local,1,1,1,0.5,0.328812512,0.7,1,45.36193204,5.803829432,51.16576147,1246,438,1349,438,3033,0.041854804,0.041854804,TRUE,low,TRUE,206,700,0.789830359
DOE_009,theoretical,high,global,1,1,1,0.5,0.611410646,0.7,1,241.0027602,4.718044758,245.7208049,632,339,735,339,1706,0.028222638,0.028222638,TRUE,low,TRUE,119,326,0.830201521
DOE_009,theoretical,high,faiss,1,1,1,0.5,0.617468463,0.7,1,2.0571661,2.850617409,4.907783508,1192,208,1295,208,2695,0.028708531,0.028708531,TRUE,low,TRUE,45,508,0.831066923
DOE_010,theoretical,high,local,1,1,1,0,0.241905634,0.7,1,46.67720246,3.156027555,49.83323002,589,170,675,170,1434,0.018288699,0.018288699,TRUE,low,TRUE,118,429,0.705986519
DOE_010,theoretical,high,global,1,1,1,0,0.227283235,0.7,1,240.9381402,1.944722891,242.882863,696,161,782,161,1639,0.019246999,0.019246999,TRUE,low,TRUE,137,524,0.703897605
DOE_010,theoretical,high,faiss,1,0,0.5,0,0.187938112,0.3,0.3,2.029975891,0.917621851,2.947597742,1329,35,1414,35,2778,0.020974635,0.020974635,FALSE,medium,FALSE,28,649,0.326848302
DOE_011,theoretical,high,local,1,1,1,0.5,0.54971309,0.5,1,48.13988709,3.41496563,51.55485272,519,188,600,188,1307,0.018248208,0.018248208,TRUE,low,TRUE,145,382,0.792816156
DOE_011,theoretical,high,global,1,1,1,0.5,0.542379569,0.5,1,186.494427,1.731907129,188.2263341,614,132,696,132,1442,0.016520566,0.016520566,TRUE,low,TRUE,108,450,0.79176851
DOE_011,theoretical,high,faiss,1,1,1,0.5,0.55711683,0.5,1,2.130335093,1.898515224,4.028850317,730,160,811,160,1701,0.019584429,0.019584429,TRUE,low,TRUE,129,484,0.793873833
DOE_012,theoretical,medium,local,1,1,1,1,0.939851497,0.7,1,46.1347177,2.946737051,49.08145475,386,112,476,112,974,0.012471408,0.012471408,FALSE,medium,TRUE,92,304,0.948550214
DOE_012,theoretical,medium,global,1,1,1,0.5,0.587169313,0.7,0.3,113.5361216,1.629128695,115.1652503,506,85,595,85,1186,0.012619876,0.012619876,FALSE,high,FALSE,69,378,0.726738473
DOE_012,theoretical,medium,faiss,1,1,1,1,0.945782409,0.85,0.6,6.642819405,1.13095212,7.773771524,850,59,939,59,1848,0.015859201,0.015859201,FALSE,high,FALSE,47,579,0.913683201
DOE_013,theoretical,high,local,1,1,1,0.5,0.592322211,0.7,1,37.67377234,3.96620059,41.63997293,703,280,790,280,1773,0.025779644,0.025779644,TRUE,low,TRUE,212,513,0.827474602
DOE_013,theoretical,high,global,1,1,1,0.5,0.594423286,0.5,0.3,117.1516411,3.013770819,120.1654119,824,231,911,231,1966,0.024767353,0.024767353,FALSE,high,FALSE,173,603,0.699203327
DOE_013,theoretical,high,faiss,1,1,1,0.5,0.588203074,0.7,1,2.117245436,4.36557436,6.482819796,1165,162,1252,162,2579,0.025644667,0.025644667,TRUE,low,TRUE,109,513,0.826886153
DOE_014,theoretical,medium,local,1,1,1,0.5,0.633659888,0.7,1,39.94800019,5.250239372,45.19823956,775,348,862,348,1985,0.03042268,0.03042268,TRUE,low,TRUE,234,549,0.833379984
DOE_014,theoretical,medium,global,1,1,1,0.5,0.633873464,0.7,0.3,382.6082053,4.416531086,387.0247364,938,347,1025,347,2310,0.032568733,0.032568733,FALSE,medium,FALSE,251,667,0.733410495
DOE_014,theoretical,medium,faiss,1,1,0.5,0,0.642676341,0.7,1,2.083524227,3.702843428,5.786367655,1138,262,1225,262,2625,0.030679123,0.030679123,TRUE,low,TRUE,180,518,0.691810906
DOE_015,factual,simple,local,1,1,1,0.5,0.576494732,0.7,1,39.87718964,3.978075027,43.85526466,558,265,641,265,1464,0.022958731,0.022958731,TRUE,low,TRUE,183,412,0.825213533
DOE_015,factual,simple,global,1,1,1,0,0.574255249,0.5,1,241.43401,4.919631958,246.353642,985,366,1067,366,2418,0.034161403,0.034161403,TRUE,low,TRUE,247,711,0.724893607
DOE_015,factual,simple,faiss,1,1,1,0,0.27620716,0.7,0.3,1.969905376,1.109268427,3.079173803,730,52,812,52,1594,0.013767136,0.013767136,FALSE,medium,FALSE,44,532,0.610886737
